Game Turn, Attacking Civ, DefendingCiv, AttackerObjType, DefenderObjType, Attacker Type, Defender Type, AttackerID, DefenderID, AttackerStr, DefenderStr, AttackerStrMod, DefenderStrMod, AttackerDmg, DefenderDmg
34, 0, 63, 1:1, 262145:2555941, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 4, -9, 9, 84
34, 2, 63, 1:1, 524291:3473429, UNIT_ARCHER, UNIT_SLINGER, 25, 5, 2, 0, 0, 84
34, 4, 63, 1:1, 393216:1703961, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 9, -7, 16, 54
34, 8, 63, 1:1, 131073:1572887, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 3, 5, 39, 25
34, 12, 63, 1:1, 196610:524295, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 22, 37
34, 63, 12, 1:1, 524295:196610, UNIT_SCOUT, UNIT_WARRIOR, 10, 20, -4, 1, 47, 19
34, 63, 2, 1:1, 1507350:458756, UNIT_SCOUT, UNIT_WARRIOR, 10, 20, 0, 1, 44, 16
34, 63, 4, 1:1, 4259886:458755, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -2, 1, 25, 41
34, 63, 4, 1:1, 3866674:393216, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -6, 0, 0, 21
35, 1, 63, 1:1, 524293:2687015, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 9, 1, 28, 33
35, 2, 63, 1:1, 524291:3473429, UNIT_ARCHER, UNIT_SLINGER, 25, 5, 12, -5, 0, 100
35, 2, 63, 1:1, 458756:1507350, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 1, -1, 20, 55
35, 12, 63, 1:1, 196610:524295, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -4, -8, 19, 49
35, 63, 0, 1:1, 4194356:262145, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 0, 3, 0, 22
35, 63, 4, 1:1, 3866674:393216, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -6, -2, 0, 17
36, 0, 63, 1:1, 262145:4194356, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 0, -2, 18, 67
36, 1, 63, 1:1, 524293:2752552, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 1, -1, 21, 54
36, 2, 63, 1:1, 524291:1507350, UNIT_ARCHER, UNIT_SCOUT, 25, 10, 12, -7, 0, 100
36, 63, 0, 1:1, 4194356:262145, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -7, -1, 0, 21
36, 63, 1, 1:1, 196610:393220, UNIT_SPEARMAN, UNIT_SCOUT, 25, 10, -4, 10, 33, 36
37, 0, 63, 1:1, 262145:2162720, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -3, -4, 30, 31
37, 2, 63, 1:1, 589828:3145748, UNIT_ARCHER, UNIT_WARRIOR, 25, 20, 10, -3, 0, 68
37, 8, 63, 1:1, 327680:1572887, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 1, 2, 34, 25
38, 2, 63, 1:1, 524291:4653081, UNIT_ARCHER, UNIT_SCOUT, 25, 10, 2, 0, 0, 63
39, 1, 63, 1:1, 458754:4849685, UNIT_SLINGER, UNIT_SLINGER, 15, 5, 5, 0, 0, 61
39, 2, 63, 1:1, 589828:3276844, UNIT_ARCHER, UNIT_SLINGER, 25, 5, 10, -3, 0, 100
39, 2, 63, 1:1, 196608:4587557, UNIT_SCOUT, UNIT_SPEARMAN, 10, 25, 5, 0, 38, 20
39, 8, 63, 1:1, 131073:1572887, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 1, 0, 32, 21
39, 63, 8, 1:1, 5046294:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, -4, 25, 39
39, 63, 1, 1:1, 4849685:458754, UNIT_SLINGER, UNIT_SLINGER, 15, 5, -6, 5, 0, 29
39, 63, 2, 1:1, 4587557:196608, UNIT_SPEARMAN, UNIT_SCOUT, 25, 10, -2, 1, 19, 55
40, 1, 63, 1:1, 327683:262147, UNIT_SCOUT, UNIT_SCOUT, 10, 10, 5, 2, 29, 35
40, 2, 63, 1:1, 524291:4587557, UNIT_ARCHER, UNIT_SPEARMAN, 25, 25, 2, -4, 0, 45
40, 8, 63, 1:1, 327680:5046294, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 5, 1, 26, 34
40, 9, 63, 1:1, 196610:3211307, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, -5, 17, 51
40, 63, 8, 1:1, 5046294:327680, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -6, -4, 25, 28
40, 63, 1, 1:1, 4849685:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -6, 2, 0, 18
