0.2000,0.1500,0.2625,0.0909,0.0656,0.3190,0.1500,0.1558,0.1402,0.1746,0.5375,0.1275,0.4000,0.2667,0.5375,0.1039,0.1311,0.6500,0.3500,0.2213,0.2996,0.3788,0.4385,0.2375,0.5000,0.1345,0.1000,0.1000,1.7510,0.0000,0.2500,0.1500,0.1000,0.3320,0,1
0.3000,0.1833,0.4375,0.0909,0.1148,0.4120,0.3000,0.1891,0.2042,0.1698,0.5317,0.2225,0.4000,0.2667,0.5375,0.1039,0.1311,0.6500,0.3500,0.2213,0.2996,0.3788,0.4385,0.2375,0.5000,0.2560,0.2000,0.0000,1.6903,0.2000,0.1083,0.2000,0.1000,0.3720,0,1
0.4000,0.2667,0.5375,0.1039,0.1311,0.6500,0.3500,0.2213,0.2996,0.3788,0.4385,0.2375,0.3000,0.1833,0.4375,0.0909,0.1148,0.4120,0.3000,0.1891,0.2042,0.1698,0.5317,0.2225,0.5000,0.3500,0.0000,0.2000,1.6432,0.2000,0.1000,0.5000,0.4000,0.7280,1,1
0.3000,0.1500,0.4375,0.0779,0.1148,0.4520,0.4000,0.1226,0.1909,0.1283,0.6262,0.1625,0.4000,0.3333,0.7000,0.1299,0.1803,0.6500,0.3500,0.2622,0.4286,0.4798,0.9054,0.4025,0.6000,0.3760,0.1000,0.0000,1.8697,0.2000,0.1125,0.3000,0.1000,0.5980,0,1
0.2000,0.1500,0.3000,0.1039,0.1148,0.3150,0.2500,0.1568,0.2168,0.2102,0.1623,0.2100,0.4000,0.3333,0.7000,0.1299,0.1803,0.6500,0.3500,0.2622,0.4286,0.4798,0.9054,0.4025,0.6000,0.2225,0.2000,0.1000,1.9465,0.1000,0.1300,0.1500,0.1000,0.2340,0,1
0.3000,0.2167,0.4750,0.1169,0.1475,0.4120,0.3500,0.1891,0.2347,0.2411,0.8932,0.2700,0.4000,0.3333,0.7000,0.1299,0.1803,0.6500,0.3500,0.2622,0.4286,0.4798,0.9054,0.4025,0.6000,0.3060,0.2000,0.0000,1.9048,0.1000,0.1071,0.3500,0.3000,0.1620,0,1
0.4000,0.3333,0.7000,0.1299,0.1803,0.6500,0.3500,0.2622,0.4286,0.4798,0.9054,0.4025,0.3000,0.2167,0.4750,0.1169,0.1475,0.4120,0.3500,0.1891,0.2347,0.2411,0.8932,0.2700,0.6000,0.3500,0.0000,0.0000,1.8827,0.1000,0.1714,0.7500,0.5000,1.0080,1,1
0.2000,0.1500,0.3750,0.0909,0.1475,0.5140,0.4500,0.1748,0.1972,0.1936,0.1262,0.1675,0.4000,0.4000,0.7750,0.1818,0.2131,0.5530,0.4000,0.5384,0.5486,0.6104,0.9410,0.5175,0.7000,0.4070,0.1000,0.0000,1.9285,0.1000,0.1056,0.2500,0.1000,0.9080,0,1
0.3000,0.1833,0.4250,0.1169,0.1475,0.2930,0.2500,0.1919,0.2884,0.2672,0.7667,0.2700,0.4000,0.4000,0.7750,0.1818,0.2131,0.5530,0.4000,0.5384,0.5486,0.6104,0.9410,0.5175,0.7000,0.2115,0.3000,0.0000,2.0262,0.3000,0.0800,0.2000,0.3000,0.6040,0,1
0.3000,0.2500,0.5250,0.1558,0.1803,0.4120,0.3500,0.2850,0.3950,0.3562,0.8348,0.3675,0.4000,0.4000,0.7750,0.1818,0.2131,0.5530,0.4000,0.5384,0.5486,0.6104,0.9410,0.5175,0.7000,0.3060,0.2000,0.0000,1.9790,0.2000,0.1071,0.7000,0.6000,0.6280,0,1
